Date,Open,High,Low,Close,Adj Close,Volume
2020-12-04,0.018475,0.018674,0.018001,0.018191,0.018191,3893
2020-12-05,0.018136,0.018343,0.015605,0.015722,0.015722,3688
2020-12-06,0.015729,0.018436,0.015524,0.016944,0.016944,3380
2020-12-07,0.016945,0.017011,0.016103,0.016366,0.016366,3331
2020-12-08,0.016363,0.018364,0.016287,0.017410,0.017410,3365
2020-12-09,0.017403,0.017622,0.016983,0.017377,0.017377,3199
2020-12-10,0.017366,0.017456,0.016868,0.016898,0.016898,3570
2020-12-11,0.016890,0.016952,0.014389,0.014445,0.014445,3844
2020-12-12,0.014433,0.017368,0.013205,0.015978,0.015978,2531
2020-12-13,0.015985,0.017056,0.015324,0.015450,0.015450,555
2020-12-14,0.015445,0.015611,0.015061,0.015571,0.015571,2235
2020-12-15,0.015564,0.015809,0.015445,0.015723,0.015723,3740
2020-12-16,0.015722,0.023633,0.015623,0.023429,0.023429,3584
2020-12-17,0.023432,0.047111,0.017891,0.021808,0.021808,6387
2020-12-18,0.021797,0.022503,0.021359,0.021993,0.021993,4687
2020-12-19,0.022006,0.022925,0.021700,0.022652,0.022652,4855
2020-12-20,0.022658,0.022779,0.021856,0.022127,0.022127,4419
2020-12-21,0.022079,0.022850,0.018614,0.018930,0.018930,6458
2020-12-22,0.018930,0.019654,0.018337,0.019647,0.019647,4860
2020-12-23,0.019643,0.022920,0.019304,0.022066,0.022066,4978
2020-12-24,0.022047,0.022286,0.021404,0.021966,0.021966,4526
2020-12-25,0.021941,0.022252,0.019158,0.019876,0.019876,4834
2020-12-26,0.019870,0.021642,0.019761,0.021419,0.021419,4881
2020-12-27,0.021414,0.022762,0.017515,0.017584,0.017584,5825
2020-12-28,0.017563,0.019128,0.016331,0.016660,0.016660,5676
2020-12-29,0.016655,0.024395,0.016375,0.019978,0.019978,5283
2020-12-30,0.019978,0.021623,0.019475,0.021337,0.021337,8095
2020-12-31,0.021342,0.021798,0.018269,0.018857,0.018857,6397
2021-01-01,0.018857,0.019239,0.017145,0.018501,0.018501,9603
2021-01-02,0.018506,0.021236,0.018328,0.020274,0.020274,6639
2021-01-03,0.020269,0.022521,0.016772,0.020300,0.020300,10013
2021-01-04,0.020325,0.020733,0.017724,0.019181,0.019181,6945
2021-01-05,0.019187,0.021519,0.018133,0.020750,0.020750,10829
2021-01-06,0.020750,0.024898,0.017740,0.023943,0.023943,8189
2021-01-07,0.023919,0.028218,0.018920,0.027513,0.027513,13883
2021-01-08,0.027526,0.029055,0.019963,0.027320,0.027320,9641
2021-01-09,0.027320,0.027471,0.022960,0.022960,0.022960,9064
2021-01-10,0.022959,0.024250,0.018662,0.020281,0.020281,8377
2021-01-11,0.020272,0.021388,0.016150,0.021330,0.021330,12084
2021-01-12,0.021351,0.023285,0.017165,0.021424,0.021424,7258
2021-01-13,0.021415,0.027824,0.020596,0.027617,0.027617,11278
2021-01-14,0.027599,0.028644,0.019327,0.028219,0.028219,7840
2021-01-15,0.028216,0.028496,0.023056,0.024244,0.024244,8010
2021-01-16,0.024304,0.026463,0.022842,0.025354,0.025354,8562
2021-01-17,0.025347,0.029848,0.024097,0.025042,0.025042,10327
2021-01-18,0.025054,0.027890,0.024768,0.025650,0.025650,8992
2021-01-19,0.025641,0.026050,0.023563,0.024169,0.024169,10583
2021-01-20,0.024167,0.024373,0.022492,0.023155,0.023155,6938
2021-01-21,0.023111,0.023111,0.018755,0.019144,0.019144,5872
2021-01-22,0.019108,0.020289,0.017951,0.019765,0.019765,8428
2021-01-23,0.019804,0.021685,0.019310,0.020193,0.020193,6608
2021-01-24,0.020196,0.020418,0.018990,0.019714,0.019714,6013
2021-01-25,0.019711,0.021253,0.019540,0.019789,0.019789,7315
2021-01-26,0.019788,0.020622,0.018943,0.020499,0.020499,6809
2021-01-27,0.020481,0.020481,0.018361,0.018654,0.018654,9128
2021-01-28,0.018689,0.020662,0.018432,0.020387,0.020387,8596
2021-01-29,0.020421,0.023420,0.019569,0.020965,0.020965,6212
2021-01-30,0.020963,0.021280,0.020153,0.020568,0.020568,8981
2021-01-31,0.020575,0.020873,0.019685,0.020197,0.020197,5960
2021-02-01,0.020200,0.020690,0.011390,0.016108,0.016108,8615
2021-02-02,0.016125,0.020983,0.014319,0.020824,0.020824,6971
2021-02-03,0.020832,0.021263,0.015412,0.015718,0.015718,11810
2021-02-04,0.015730,0.193676,0.014528,0.015143,0.015143,6634
2021-02-05,0.015138,0.016436,0.015138,0.015975,0.015975,12413
2021-02-06,0.016008,0.017764,0.016008,0.017262,0.017262,7510
2021-02-07,0.017280,0.019118,0.015309,0.019065,0.019065,9235
2021-02-08,0.019063,0.020763,0.017390,0.020763,0.020763,7403
2021-02-09,0.020785,0.021202,0.016725,0.017189,0.017189,9751
2021-02-10,0.017191,0.017299,0.015812,0.016173,0.016173,7322
2021-02-11,0.016170,0.017931,0.015908,0.017717,0.017717,8931
2021-02-12,0.017726,0.018750,0.017339,0.018531,0.018531,10403
2021-02-13,0.018525,0.019688,0.018317,0.018844,0.018844,8425
2021-02-14,0.018842,0.020133,0.018842,0.019497,0.019497,7429
2021-02-15,0.019494,0.020137,0.018545,0.019180,0.019180,9555
2021-02-16,0.019181,0.021586,0.018883,0.020687,0.020687,177
2021-02-17,0.020672,0.026221,0.020419,0.025036,0.025036,171
2021-02-18,0.025032,0.036710,0.024488,0.025848,0.025848,318
2021-02-19,0.025840,0.037049,0.023494,0.023590,0.023590,80
2021-02-20,0.023586,0.036049,0.023148,0.035344,0.035344,0
2021-02-21,0.035343,0.036970,0.023014,0.029576,0.029576,144
2021-02-22,0.029573,0.036208,0.025463,0.033618,0.033618,36
2021-02-23,0.033609,0.033609,0.018691,0.020014,0.020014,0
2021-02-24,0.020018,0.400092,0.019358,0.400073,0.400073,0
2021-02-25,0.400128,0.409426,0.019879,0.020056,0.020056,114
2021-02-26,0.019933,0.034827,0.019245,0.031463,0.031463,97
2021-02-27,0.031511,0.032632,0.024099,0.025299,0.025299,73
2021-02-28,0.025265,0.032025,0.022765,0.027511,0.027511,11
2021-03-01,0.027529,0.032320,0.026465,0.027295,0.027295,2
2021-03-02,0.027297,0.028105,0.025673,0.027576,0.027576,30
2021-03-03,0.027576,0.034331,0.027516,0.033869,0.033869,37
2021-03-04,0.033861,0.034663,0.028594,0.029136,0.029136,0
2021-03-05,0.029137,0.029137,0.021345,0.022167,0.022167,0
2021-03-06,0.022163,0.029947,0.022046,0.024460,0.024460,81
2021-03-07,0.024456,0.029803,0.024456,0.029711,0.029711,11
2021-03-08,0.029700,0.030010,0.027346,0.028212,0.028212,3
2021-03-09,0.028213,0.031794,0.026220,0.031765,0.031765,30
2021-03-10,0.031798,0.034161,0.029993,0.033594,0.033594,0
2021-03-11,0.033597,0.033835,0.028207,0.032141,0.032141,153
2021-03-12,0.032142,0.033832,0.022000,0.022370,0.022370,0
2021-03-13,0.022360,0.036353,0.021925,0.036036,0.036036,0
2021-03-14,0.036035,0.036244,0.023306,0.027353,0.027353,19
2021-03-15,0.027300,0.027849,0.022173,0.022362,0.022362,56
2021-03-16,0.022363,0.032302,0.021422,0.032289,0.032289,14
2021-03-17,0.032300,0.032476,0.018262,0.019001,0.019001,73
2021-03-18,0.019008,0.022471,0.016871,0.016978,0.016978,15
2021-03-19,0.016977,0.022232,0.016621,0.022182,0.022182,61
2021-03-20,0.022186,0.024416,0.020662,0.024365,0.024365,1
2021-03-21,0.024360,0.024573,0.012710,0.016104,0.016104,120
2021-03-22,0.016107,0.016213,0.012627,0.014725,0.014725,3
2021-03-23,0.014723,0.018306,0.014024,0.014238,0.014238,5
2021-03-24,0.014232,0.021760,0.012546,0.014776,0.014776,24
2021-03-25,0.014777,0.014950,0.014240,0.014478,0.014478,4
2021-03-26,0.014477,0.016540,0.012589,0.016536,0.016536,6
2021-03-27,0.016541,0.043912,0.016281,0.022952,0.022952,1434
2021-03-28,0.022949,0.043534,0.022886,0.033012,0.033012,148
2021-03-29,0.033011,0.033255,0.031614,0.032917,0.032917,346
2021-03-30,0.032918,0.033885,0.032633,0.033583,0.033583,4
2021-03-31,0.033583,0.034160,0.032904,0.033583,0.033583,21
2021-04-01,0.033584,0.033964,0.033348,0.033691,0.033691,0
2021-04-02,0.033685,0.036933,0.033555,0.036818,0.036818,404
2021-04-03,0.036826,0.037032,0.034976,0.035151,0.035151,1
2021-04-04,0.035138,0.037116,0.034540,0.037014,0.037014,0
2021-04-05,0.037018,0.037732,0.035188,0.035361,0.035361,2
2021-04-06,0.035435,0.037227,0.035236,0.036685,0.036685,183
2021-04-07,0.036661,0.036799,0.034474,0.034831,0.034831,2
2021-04-08,0.034750,0.036170,0.034645,0.036154,0.036154,0
2021-04-09,0.036161,0.044601,0.035841,0.044263,0.044263,159
2021-04-10,0.044266,0.044732,0.036249,0.037668,0.037668,286
2021-04-11,0.037670,0.038298,0.036760,0.037329,0.037329,409
2021-04-12,0.037327,0.040728,0.036493,0.036559,0.036559,389
2021-04-13,0.036535,0.038584,0.032588,0.033072,0.033072,45
2021-04-14,0.033022,0.038951,0.032554,0.038475,0.038475,175
2021-04-15,0.038497,0.038686,0.032523,0.032908,0.032908,32
2021-04-16,0.032923,0.034238,0.031316,0.033906,0.033906,2
2021-04-17,0.033865,0.037543,0.033738,0.036434,0.036434,17
2021-04-18,0.036410,0.036634,0.031253,0.032043,0.032043,4
2021-04-19,0.032029,0.034367,0.029903,0.033992,0.033992,1
2021-04-20,0.033966,0.034808,0.032603,0.034449,0.034449,3
2021-04-21,0.034447,0.034622,0.030606,0.030723,0.030723,0
2021-04-22,0.030726,0.037466,0.030046,0.035224,0.035224,526
2021-04-23,0.035198,0.037563,0.031611,0.036788,0.036788,24
2021-04-24,0.036787,0.036841,0.032713,0.035043,0.035043,10
2021-04-25,0.035036,0.035300,0.020037,0.027929,0.027929,214
2021-04-26,0.027932,0.030394,0.027395,0.028083,0.028083,20
2021-04-27,0.028096,0.038231,0.027726,0.037937,0.037937,108
2021-04-28,0.037975,0.038424,0.030325,0.030693,0.030693,0
2021-04-29,0.030702,0.035406,0.029413,0.035359,0.035359,0
2021-04-30,0.035346,0.035923,0.031921,0.034086,0.034086,0
2021-05-01,0.034073,0.036822,0.033959,0.034695,0.034695,11
2021-05-02,0.034697,0.035105,0.033685,0.035105,0.035105,48
2021-05-03,0.035111,0.036563,0.034392,0.034869,0.034869,27
2021-05-04,0.034892,0.034901,0.032447,0.032501,0.032501,0
2021-05-05,0.032533,0.043071,0.031883,0.040771,0.040771,592
